Version 4
SHEET 1 4776 1012
WIRE 3168 -896 2784 -896
WIRE 720 -880 576 -880
WIRE 832 -880 720 -880
WIRE 1280 -880 1136 -880
WIRE 1392 -880 1280 -880
WIRE 1792 -880 1648 -880
WIRE 1904 -880 1792 -880
WIRE 2352 -880 2208 -880
WIRE 2464 -880 2352 -880
WIRE 576 -848 576 -880
WIRE 1136 -848 1136 -880
WIRE 1648 -848 1648 -880
WIRE 2208 -848 2208 -880
WIRE 3168 -848 3168 -896
WIRE 3568 -848 3168 -848
WIRE 2784 -800 2784 -896
WIRE 2832 -800 2784 -800
WIRE 3104 -784 2896 -784
WIRE 3168 -784 3168 -848
WIRE 3168 -784 3104 -784
WIRE 3296 -784 3232 -784
WIRE 3392 -784 3296 -784
WIRE 784 -768 704 -768
WIRE 816 -768 784 -768
WIRE 1344 -768 1264 -768
WIRE 1376 -768 1344 -768
WIRE 1856 -768 1776 -768
WIRE 1888 -768 1856 -768
WIRE 2416 -768 2336 -768
WIRE 2448 -768 2416 -768
WIRE 2832 -768 2720 -768
WIRE 3104 -752 3104 -784
WIRE 3168 -752 3168 -784
WIRE 3232 -752 3232 -784
WIRE 3296 -752 3296 -784
WIRE 416 -736 400 -736
WIRE 496 -736 416 -736
WIRE 576 -736 576 -768
WIRE 672 -736 704 -768
WIRE 672 -736 576 -736
WIRE 768 -736 672 -736
WIRE 976 -736 960 -736
WIRE 1056 -736 976 -736
WIRE 1136 -736 1136 -768
WIRE 1232 -736 1264 -768
WIRE 1232 -736 1136 -736
WIRE 1328 -736 1232 -736
WIRE 1488 -736 1472 -736
WIRE 1568 -736 1488 -736
WIRE 1648 -736 1648 -768
WIRE 1744 -736 1776 -768
WIRE 1744 -736 1648 -736
WIRE 1840 -736 1744 -736
WIRE 2048 -736 2032 -736
WIRE 2128 -736 2048 -736
WIRE 2208 -736 2208 -768
WIRE 2304 -736 2336 -768
WIRE 2304 -736 2208 -736
WIRE 2400 -736 2304 -736
WIRE 496 -704 496 -736
WIRE 576 -704 576 -736
WIRE 672 -704 672 -736
WIRE 768 -704 768 -736
WIRE 1056 -704 1056 -736
WIRE 1136 -704 1136 -736
WIRE 1232 -704 1232 -736
WIRE 1328 -704 1328 -736
WIRE 1568 -704 1568 -736
WIRE 1648 -704 1648 -736
WIRE 1744 -704 1744 -736
WIRE 1840 -704 1840 -736
WIRE 2128 -704 2128 -736
WIRE 2208 -704 2208 -736
WIRE 2304 -704 2304 -736
WIRE 2400 -704 2400 -736
WIRE 400 -640 400 -736
WIRE 960 -640 960 -736
WIRE 1472 -640 1472 -736
WIRE 2032 -640 2032 -736
WIRE 768 -592 768 -624
WIRE 1328 -592 1328 -624
WIRE 1840 -592 1840 -624
WIRE 2400 -592 2400 -624
WIRE 3104 -528 3104 -560
WIRE 3168 -528 3168 -560
WIRE 3168 -528 3104 -528
WIRE 3232 -528 3232 -560
WIRE 3232 -528 3168 -528
WIRE 3296 -528 3296 -560
WIRE 3296 -528 3232 -528
WIRE 400 -496 400 -576
WIRE 496 -496 496 -528
WIRE 496 -496 400 -496
WIRE 576 -496 576 -528
WIRE 672 -496 672 -528
WIRE 672 -496 576 -496
WIRE 768 -496 768 -528
WIRE 768 -496 672 -496
WIRE 960 -496 960 -576
WIRE 1056 -496 1056 -528
WIRE 1056 -496 960 -496
WIRE 1136 -496 1136 -528
WIRE 1232 -496 1232 -528
WIRE 1232 -496 1136 -496
WIRE 1328 -496 1328 -528
WIRE 1328 -496 1232 -496
WIRE 1472 -496 1472 -576
WIRE 1568 -496 1568 -528
WIRE 1568 -496 1472 -496
WIRE 1648 -496 1648 -528
WIRE 1744 -496 1744 -528
WIRE 1744 -496 1648 -496
WIRE 1840 -496 1840 -528
WIRE 1840 -496 1744 -496
WIRE 2032 -496 2032 -576
WIRE 2128 -496 2128 -528
WIRE 2128 -496 2032 -496
WIRE 2208 -496 2208 -528
WIRE 2304 -496 2304 -528
WIRE 2304 -496 2208 -496
WIRE 2400 -496 2400 -528
WIRE 2400 -496 2304 -496
WIRE 704 -464 672 -496
WIRE 928 -464 704 -464
WIRE 1264 -464 1232 -496
WIRE 1424 -464 1264 -464
WIRE 1776 -464 1744 -496
WIRE 1952 -464 1776 -464
WIRE 2336 -464 2304 -496
WIRE 2496 -464 2336 -464
WIRE 3168 -448 3168 -528
WIRE 3296 -448 3168 -448
WIRE 3392 -448 3392 -784
WIRE 3392 -448 3360 -448
WIRE 576 -400 576 -496
WIRE 720 -400 576 -400
WIRE 832 -400 720 -400
WIRE 1136 -400 1136 -496
WIRE 1280 -400 1136 -400
WIRE 1392 -400 1280 -400
WIRE 1648 -400 1648 -496
WIRE 1792 -400 1648 -400
WIRE 1904 -400 1792 -400
WIRE 2208 -400 2208 -496
WIRE 2352 -400 2208 -400
WIRE 2464 -400 2352 -400
WIRE 3168 -384 3168 -448
WIRE 3200 -384 3168 -384
WIRE 928 -368 928 -464
WIRE 1424 -368 1424 -464
WIRE 1952 -368 1952 -464
WIRE 2496 -368 2496 -464
WIRE 3392 -368 3392 -448
WIRE 3392 -368 3264 -368
WIRE 3568 -368 3392 -368
WIRE 3200 -352 3120 -352
WIRE 1184 -288 928 -288
WIRE 1424 -288 1184 -288
WIRE 1952 -288 1424 -288
WIRE 2496 -288 1952 -288
WIRE 2880 -240 2880 -304
WIRE 2112 -224 2048 -224
WIRE 2256 -224 2176 -224
WIRE 3152 -192 3120 -192
WIRE 3392 -192 3392 -368
WIRE 3392 -192 3344 -192
WIRE 1184 -128 1184 -288
